compound,aurl,log(kappa),spacegroup_relax,agl_debye,agl_gruneisen,agl_heat_capacity_Cp_300K,agl_heat_capacity_Cv_300K,agl_thermal_expansion_300K,agl_vibrational_entropy_300K_atom,agl_vibrational_free_energy_300K_atom,agl_bulk_modulus_static_300K,agl_bulk_modulus_isothermal_300K
B4Mn1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCLC/B4Mn1_ICSD_15079,1.837060399,0.30263157894736836,0.5515767410488348,0.474635321328227,0.026552195067429035,0.023321107521775887,0.040138933009928546,0.04954388087538229,0.7754193043505716,0.5862235833496154,0.5837367290986878
B2Ru3Tb1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/B2Ru3Tb1_ICSD_615370,0.917332703,0.8289473684210525,0.1759659510973688,0.5446813557446601,0.058831439638701924,0.05613550225526647,0.05733882559835442,0.26296139697570925,0.5232181059193123,0.4713830033760604,0.46570888278618616
O14Sn4Y4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Sn2Y2_ICSD_24193,0.660334138,0.9868421052631579,0.23533133569733206,0.5545728884595608,0.20398461758778352,0.20362475202918645,0.07015099048565124,0.20025782884923182,0.5770705865637679,0.3539433567037291,0.3479508562203742
Au6Ho6Sb8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/Au3Ho3Sb4_ICSD_612001,0.096691073,0.9561403508771928,0.09103096404986351,0.5838772014790711,0.2113244452516757,0.2089775647170783,0.09244064720738682,0.41180734119785867,0.4100928479769425,0.17752125373161456,0.17279576703122823
Ca2Zn2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Ca1Zn1_ICSD_184361,0.211339503,0.26754385964912275,0.08730302677091055,0.4953013743642535,0.0434972284413956,0.03865166209166599,0.18819315128358582,0.42475174606761484,0.4007306957621901,0.06623666955956724,0.0628021466676118
I1K3O1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/I1K3O1_ICSD_36512,0.070222633,0.9605263157894736,0.08921770441424473,0.5609583648142583,0.05831764471657452,0.04938823489490655,0.3575559303650062,0.43091107798018247,0.39629171900688526,0.036119075422916314,0.031963807568215236
As1Pt5Tl1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/As1Pt5Tl1_ICSD_611241,0.327943051,0.5307017543859649,0.0962504536097287,0.6788410943550561,0.0734747695607071,0.07028757878759921,0.0717305724580577,0.39830977339837514,0.41990740009877925,0.386929239045979,0.37804490440835165
Rh6Sn6Zr6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Rh1Sn1Zr1_ICSD_152133,0.421197408,0.8245614035087718,0.13680916588594455,0.5684443389186503,0.18265950869888684,0.18231653800668132,0.06260409883970927,0.3187268896325204,0.479250495587635,0.3154889835013791,0.3108209151462629
Cr4O8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Cr1O2_ICSD_185888,0.919897769,0.8903508771929823,0.32358905970459245,0.5714040305137109,0.09909465911750222,0.0965714109704043,0.07559177283505125,0.13580650125329652,0.6420878503787666,0.42921859877589413,0.42086392624317165
Si8Sr4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Si2Sr1_ICSD_154435,0.414859748,0.9210526315789473,0.1490849902244833,0.5212083860952953,0.12274948393474003,0.11920271853853578,0.11437928571303208,0.30185149713448856,0.4922837174372425,0.12579778170566025,0.12197293113422619
