compound,aurl,log(kappa),agl_heat_capacity_Cv_300K,agl_thermal_expansion_300K,agl_vibrational_free_energy_300K_atom,agl_bulk_modulus_static_300K
C4Os8Zr16,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Os2Zr4_ICSD_618619,0.57007103,0.281720767,0.046983788,0.501640683,0.413642374
Ag2In1Y1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag2In1Y1_ICSD_58304,0.062194519,0.038916354,0.137721997,0.372131624,0.143157457
Nb1S4Tl3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/Nb1S4Tl3_ICSD_600246,0.380759193,0.081013229,0.121048632,0.415853617,0.095842629
P4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/P1_ICSD_162244,1.384190277,0.004930362,0.110869104,0.607549395,0.239200469
Ge4Ir4Mn12,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ge1Ir1Mn3_ICSD_150394,0.334927999,0.203962989,0.090685556,0.471036708,0.233061764
B2Mg16Rh8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/B1Mg8Rh4_ICSD_249110,0.160252381,0.263131922,0.101040594,0.491589331,0.188191059
Hf4P4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Hf1P1_ICSD_42914,0.983795823,0.077163369,0.055583735,0.508718937,0.327673245
N4Ni8Ta16,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/N1Ni2Ta4_ICSD_644599,0.683047038,0.277902947,0.046281752,0.518914804,0.528828284
O8Pt6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/O4Pt3_ICSD_30444,0.271446614,0.14129372,0.071204045,0.474390692,0.457456186
Ga4Ir4Y4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ga1Ir1Y1_ICSD_634463,0.12125445,0.123897989,0.0703265,0.406185204,0.274764971
S12Y8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/S3Y2_ICSD_651407,0.519012434,0.197883094,0.077697882,0.515686392,0.187730542
Hf4Pt12,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Hf1Pt3_ICSD_104258,0.553983703,0.162579361,0.051898043,0.468483333,0.500138587
Al36Mg6Mn4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Al18Mg3Mn2_ICSD_107845,-0.072924914,0.462472312,0.133334269,0.510140298,0.137614448
In1P1Pt5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/In1P1Pt5_ICSD_640194,0.426916089,0.069890359,0.064183681,0.435808603,0.441811804
C1Zr1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Zr1_ICSD_183162,0.968319941,0.016626487,0.056110262,0.480942372,0.323286184
Ir1N1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ir1N1_ICSD_183156,0.441014496,0.01728108,0.058216371,0.403256332,0.559605869
Co4Sn4Tb4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Co1Sn1Tb1_ICSD_106977,0.445794068,0.122093208,0.09788143,0.448343869,0.15928712
Cd6Ho2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Cd3Ho1_ICSD_58990,0.107932062,0.081604871,0.148779071,0.388860272,0.115807733
Zr2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Zr1_ICSD_164572,1.167326198,0.016909602,0.056110262,0.45434234,0.210773177
C6Si6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/C1Si1_ICSD_15325,1.53811985,0.067466266,0.039612406,0.753836717,0.462283998
Na1O3W1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Na1O3W1_ICSD_28343,1.136108319,0.042906751,0.061200026,0.580524703,0.44734618
C2Cu1Rb1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/C2Cu1Rb1_ICSD_391118,0.681516203,0.037339491,0.114379286,0.479926389,0.109668801
Co4Sb12,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/Co1Sb3_ICSD_164980,0.415702684,0.162050342,0.098758975,0.474482255,0.171763321
La1Te1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/La1Te1_ICSD_183953,0.870096513,0.017187837,0.094195738,0.418815416,0.123063991
Li2Pd1Sb1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Li2Pd1Sb1_ICSD_44816,0.235695063,0.038333086,0.180546219,0.426553123,0.134157961
Ge4Rh8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ge1Rh2_ICSD_637674,0.458547204,0.118539715,0.070853027,0.500226651,0.435064227
Ge4Pt4Y4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ge1Pt1Y1_ICSD_637661,0.471898712,0.121294036,0.074363209,0.462471105,0.267674335
Ru4Si4Ti4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ru1Si1Ti1_ICSD_57484,0.943362922,0.110120195,0.051547025,0.571340037,0.433326215
F14Sr4Zn3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/F14Sr4Zn3_ICSD_72991,0.142664724,0.209259004,0.150183144,0.508075722,0.170470377
B2Ge6Ta10,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/B1Ge3Ta5_ICSD_614404,0.796021748,0.177969335,0.049616425,0.513784666,0.446898614
Te2V2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Te1V1_ICSD_52509,0.596694938,0.038104075,0.124734323,0.441612898,0.123540638
Al1Ba1Si1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Al1Ba1Si1_ICSD_162866,0.902509817,0.026804259,0.122979232,0.489764396,0.105403741
In3Zr1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/In3Zr1_ICSD_59578,0.736574965,0.037789867,0.106481376,0.459133584,0.163551725
Ru8Sc4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ru2Sc1_ICSD_650601,0.065064081,0.121693804,0.083840701,0.455654435,0.340734464
Al6Hf2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Al3Hf1_ICSD_109214,1.019577354,0.074519731,0.077697882,0.544963138,0.231950799
Mg4Se8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Mg1Se2_ICSD_642815,0.387975017,0.120560036,0.122277196,0.473927016,0.121036537
Cu4In1Tb1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cu4In1Tb1_ICSD_152559,0.503391602,0.058625132,0.123505759,0.462176571,0.198351274
Gd2O8V2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Gd1O4V1_ICSD_152692,0.73053519,0.113016874,0.065236735,0.55109142,0.343474389
As1U1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/As1U1_ICSD_44079,-0.106914889,0.01765183,0.096652866,0.283302474,0.163909551
B4Mo4Nb2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/B2Mo2Nb1_ICSD_614821,1.329363297,0.084528857,0.04066546,0.615660118,0.601263637
Al1N1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Al1N1_ICSD_105522,2.028253955,0.007704999,0.041718515,0.757248885,0.546285652
Au2Ge2Tb2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Au1Ge1Tb1_ICSD_656873,0.506158541,0.05951132,0.094371247,0.427455442,0.197452278
Al1Cr1Cu2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Al1Cr1Cu2_ICSD_57653,0.559626576,0.037242644,0.12543636,0.483903043,0.209684704
La1Pt5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/La1Pt5_ICSD_104702,0.575118537,0.059308524,0.061551044,0.436553056,0.380256635
Li2Ru2Sn8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Li1Ru1Sn4_ICSD_412250,0.367335417,0.121180805,0.116309886,0.464326937,0.161213473
Dy2Tl2Zn2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Dy1Tl1Zn1_ICSD_630365,0.482025596,0.059630377,0.13122816,0.42169783,0.132195712
As2Hg2K2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/As1Hg1K1_ICSD_10458,0.017404836,0.060448481,0.222036573,0.368444768,0.06069934
Hg1Li1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Hg1Li1_ICSD_104308,0.075857061,0.017543041,0.385260043,0.336889311,0.061889367
